wheel-base,curb-weight,MinMax WB,MinMax CW,Z Score WB,Z Score CW,,,,,,,
88.6,2548,0.058309038,0.246971109,-1.686642927,0.269753599,,,,,,,
88.6,2548,0.058309038,0.246971109,-1.686642927,0.269753599,,,Wheelbase,,,,
94.5,2823,0.2303207,0.311043802,-0.706865481,0.754604838,,,,Min,86.6,,
99.8,2337,0.38483965,0.197809879,0.173273581,-0.102259534,,,,Max,120.9,,
99.4,2824,0.373177843,0.311276794,0.106847991,0.756367933,,,,Mean,98.75658537,,
99.8,2507,0.38483965,0.237418453,0.173273581,0.197466687,,,,Std Dev,6.021775685,,
105.8,2844,0.559766764,0.315936626,1.169657424,0.791629842,,,,,,,
105.8,2954,0.559766764,0.341565704,1.169657424,0.985570337,,,,,,,
105.8,3086,0.559766764,0.372320596,1.169657424,1.218298932,,,Curb Weight,,,,
99.5,3053,0.376093294,0.364631873,0.123454388,1.160116784,,,,Min,1488,,
101.2,2395,0.425655977,0.211323392,0.405763144,0,,,,Max,5780,,
101.2,2395,0.425655977,0.211323392,0.405763144,0,,,,Mean,2395,,
101.2,2710,0.425655977,0.28471575,0.405763144,0.555375056,,,,Std Dev,567.1842777,,
101.2,2765,0.425655977,0.297530289,0.405763144,0.652345304,,,,,,,
103.5,3055,0.49271137,0.365097856,0.787710284,1.163642974,,,,,,,
103.5,3230,0.49271137,0.405871389,0.787710284,1.472184672,,,,,,,
103.5,3380,0.49271137,0.44082013,0.787710284,1.736648985,,,,Wheelbase (min),Wheelbase (max),Curb Weight (min),"Curb Weight (max, excluding outlier)"
110,3505,0.682215743,0.469944082,1.867126114,1.957035912,,,MinMax range,0,1,0,0.600652377
88.4,1488,0.052478134,0,-1.719855722,-1.599127542,,,Z-Score range,-2.018770875,3.677223429,-1.599127542,2.94613244
94.5,1874,0.2303207,0.089934762,-0.706865481,-0.918572712,,,,,,,
94.5,1909,0.2303207,0.098089469,-0.706865481,-0.856864372,,,,,,,
93.7,1876,0.206997085,0.090400746,-0.83971666,-0.915046521,,,,,,,
93.7,1876,0.206997085,0.090400746,-0.83971666,-0.915046521,,,Outlier (in B64),,,,
93.7,2128,0.206997085,0.149114632,-0.83971666,-0.470746476,,,,,,,
93.7,1967,0.206997085,0.111602982,-0.83971666,-0.754604838,,,,,,,
93.7,1989,0.206997085,0.116728798,-0.83971666,-0.715816739,,,,,,,
93.7,1989,0.206997085,0.116728798,-0.83971666,-0.715816739,,,,,,,
